date,city,kitchen_id,item_name,category,price,orders,weekday,promo_flag,temperature,kitchen_capacity,delivery_distance_km,holiday_flag
2024-11-19,Hyderabad,KFHY1,Paneer Biryani,Main Course,214,119,Tuesday,0,21,481,2.39,0
2024-03-09,Hyderabad,KFHY3,Pepperoni Pizza,Main Course,449,108,Saturday,0,25,222,3.97,1
2024-10-28,Bangalore,KFBA4,Paneer Biryani,Main Course,260,108,Monday,0,18,310,5.95,0
2024-06-19,Hyderabad,KFHY4,Chicken Wrap,Snacks,443,22,Wednesday,1,25,326,1.64,0
2024-02-20,Pune,KFPU2,Brownie,Dessert,416,108,Tuesday,1,18,501,2.27,0
2024-06-30,Kolkata,KFKO1,Chicken Biryani,Main Course,438,58,Sunday,0,25,598,3.49,1
2024-11-04,Mumbai,KFMU2,Chicken Wrap,Snacks,432,30,Monday,0,37,224,6.98,0
2024-10-20,Delhi,KFDE3,Paneer Biryani,Main Course,466,21,Sunday,0,29,450,1.56,1
2024-05-31,Mumbai,KFMU3,Chicken Wrap,Snacks,317,92,Friday,0,28,349,2.15,0
2024-02-18,Kolkata,KFKO1,Chicken Wrap,Snacks,480,53,Sunday,0,39,262,7.98,1
2024-02-18,Kolkata,KFKO1,Brownie,Dessert,260,98,Sunday,0,36,517,2.04,1
2024-10-11,Mumbai,KFMU1,Margherita Pizza,Main Course,405,20,Friday,0,35,456,6.32,0
2024-06-23,Delhi,KFDE2,Pepperoni Pizza,Main Course,232,118,Sunday,0,36,518,1.27,1
2024-09-20,Pune,KFPU3,Cold Coffee,Beverages,250,36,Friday,0,36,565,4.45,0
2024-03-27,Kolkata,KFKO4,Brownie,Dessert,297,11,Wednesday,0,18,512,2.16,0
2024-09-11,Pune,KFPU4,Pepperoni Pizza,Main Course,368,115,Wednesday,0,36,296,4.68,0
2024-09-20,Delhi,KFDE3,Brownie,Dessert,207,82,Friday,0,31,599,3.48,0
2024-06-13,Chennai,KFCH1,Pepperoni Pizza,Main Course,342,82,Thursday,1,24,529,1.14,0
2024-04-21,Pune,KFPU3,Chicken Wrap,Snacks,404,64,Sunday,0,18,502,5.19,1
2024-01-11,Delhi,KFDE3,Paneer Biryani,Main Course,314,91,Thursday,0,37,460,3.09,0
2024-09-12,Chennai,KFCH1,Paneer Biryani,Main Course,172,48,Thursday,0,39,563,1.55,0
2024-07-20,Chennai,KFCH4,Veg Wrap,Snacks,334,100,Saturday,0,36,408,2.52,1
2024-02-09,Delhi,KFDE1,Chicken Biryani,Main Course,478,77,Friday,0,28,203,1.49,0
2024-01-29,Pune,KFPU2,Cold Coffee,Beverages,412,79,Monday,0,38,241,4.82,0
2024-02-03,Mumbai,KFMU1,Chicken Biryani,Main Course,497,80,Saturday,0,27,541,1.53,1
2024-11-08,Kolkata,KFKO2,Veg Wrap,Snacks,287,102,Friday,0,38,593,7.36,0
2024-07-08,Delhi,KFDE2,Brownie,Dessert,249,58,Monday,0,36,380,5.02,0
2024-10-08,Pune,KFPU1,Veg Wrap,Snacks,415,15,Tuesday,0,34,386,2.73,0
2024-08-14,Chennai,KFCH2,Cold Coffee,Beverages,230,36,Wednesday,1,22,511,2.11,0
2024-08-26,Hyderabad,KFHY3,Veg Wrap,Snacks,363,111,Monday,0,30,400,6.28,0
2024-03-13,Mumbai,KFMU4,Chicken Biryani,Main Course,248,93,Wednesday,0,25,241,3.95,0
2024-10-17,Bangalore,KFBA2,Margherita Pizza,Main Course,227,57,Thursday,1,23,553,1.27,0
2024-02-13,Bangalore,KFBA3,Chicken Biryani,Main Course,136,78,Tuesday,0,34,502,1.15,0
2024-03-20,Bangalore,KFBA4,Cold Coffee,Beverages,268,85,Wednesday,0,39,397,7.85,0
2024-03-29,Hyderabad,KFHY3,Veg Wrap,Snacks,484,30,Friday,0,27,215,7.44,0
2024-10-08,Pune,KFPU2,Paneer Biryani,Main Course,389,83,Tuesday,0,26,570,7.43,0
2024-11-10,Kolkata,KFKO1,Paneer Biryani,Main Course,342,98,Sunday,0,20,302,0.78,1
2024-06-07,Bangalore,KFBA4,Chicken Wrap,Snacks,420,113,Friday,1,28,382,3.53,0
2024-01-15,Mumbai,KFMU4,Margherita Pizza,Main Course,329,44,Monday,1,27,307,2.25,0
2024-06-18,Delhi,KFDE2,Veg Wrap,Snacks,366,17,Tuesday,0,20,578,7.98,0
2024-01-29,Chennai,KFCH1,Margherita Pizza,Main Course,437,112,Monday,0,29,438,3.49,0
2024-12-24,Hyderabad,KFHY1,Chicken Biryani,Main Course,296,7,Tuesday,0,35,523,5.87,0
2024-10-19,Mumbai,KFMU4,Chicken Biryani,Main Course,192,19,Saturday,0,21,339,7.67,1
2024-10-19,Pune,KFPU1,Veg Wrap,Snacks,499,91,Saturday,1,31,543,4.01,1
2024-08-13,Mumbai,KFMU3,Chicken Wrap,Snacks,379,63,Tuesday,0,39,572,6.73,0
2024-12-31,Delhi,KFDE3,Paneer Biryani,Main Course,432,94,Tuesday,0,20,575,3.13,0
2024-09-17,Chennai,KFCH3,Cold Coffee,Beverages,296,20,Tuesday,1,34,260,2.45,0
2024-06-26,Delhi,KFDE2,Chicken Biryani,Main Course,335,7,Wednesday,0,23,468,2.18,0
2024-03-29,Mumbai,KFMU4,Pepperoni Pizza,Main Course,476,102,Friday,0,20,322,1.47,0
2024-05-16,Bangalore,KFBA1,Paneer Biryani,Main Course,451,46,Thursday,0,25,224,4.63,0
2024-08-13,Hyderabad,KFHY3,Pepperoni Pizza,Main Course,447,9,Tuesday,0,35,236,2.15,0
2024-10-10,Pune,KFPU1,Chicken Biryani,Main Course,233,56,Thursday,1,36,385,4.78,0
2024-12-19,Bangalore,KFBA1,Margherita Pizza,Main Course,408,10,Thursday,0,33,367,2.34,0
2024-02-28,Bangalore,KFBA4,Chicken Biryani,Main Course,388,111,Wednesday,0,38,369,1.29,0
2024-06-03,Chennai,KFCH4,Cold Coffee,Beverages,252,125,Monday,1,36,230,6.69,0
2024-06-08,Bangalore,KFBA1,Pepperoni Pizza,Main Course,158,35,Saturday,0,19,405,6.17,1
2024-01-12,Kolkata,KFKO2,Brownie,Dessert,132,50,Friday,0,26,216,1.37,0
2024-12-19,Hyderabad,KFHY4,Brownie,Dessert,484,39,Thursday,0,36,273,3.74,0
2024-11-14,Hyderabad,KFHY4,Cold Coffee,Beverages,341,41,Thursday,0,21,551,6.28,0
2024-11-19,Bangalore,KFBA4,Chicken Biryani,Main Course,131,26,Tuesday,0,39,392,0.93,0
2024-04-29,Bangalore,KFBA2,Paneer Biryani,Main Course,389,68,Monday,0,29,363,5.36,0
2024-01-07,Pune,KFPU3,Chicken Biryani,Main Course,253,115,Sunday,0,36,257,0.51,1
2024-08-13,Pune,KFPU4,Chicken Biryani,Main Course,218,32,Tuesday,1,32,574,6.69,0
2024-10-14,Delhi,KFDE3,Pepperoni Pizza,Main Course,203,26,Monday,0,20,536,7.72,0
2024-04-01,Pune,KFPU1,Cold Coffee,Beverages,476,73,Monday,1,36,586,2.84,0
2024-01-15,Delhi,KFDE1,Veg Wrap,Snacks,439,117,Monday,0,29,473,6.98,0
2024-07-26,Bangalore,KFBA4,Chicken Wrap,Snacks,264,97,Friday,0,32,226,6.84,0
2024-07-17,Bangalore,KFBA1,Brownie,Dessert,300,46,Wednesday,1,20,245,3.97,0
2024-09-29,Chennai,KFCH4,Chicken Wrap,Snacks,347,13,Sunday,0,39,316,4.93,1
2024-03-12,Bangalore,KFBA4,Margherita Pizza,Main Course,328,76,Tuesday,0,35,565,7.81,0
2024-06-14,Bangalore,KFBA1,Chicken Biryani,Main Course,408,119,Friday,1,28,413,6.12,0
2024-03-16,Mumbai,KFMU2,Brownie,Dessert,199,58,Saturday,0,37,360,4.7,1
2024-08-29,Hyderabad,KFHY1,Paneer Biryani,Main Course,344,48,Thursday,1,18,276,1.09,0
2024-07-12,Chennai,KFCH3,Paneer Biryani,Main Course,293,118,Friday,0,27,574,5.53,0
2024-12-25,Bangalore,KFBA1,Veg Wrap,Snacks,242,10,Wednesday,0,26,558,5.1,0
2024-02-10,Delhi,KFDE4,Brownie,Dessert,447,54,Saturday,0,37,517,5.09,1
2024-01-07,Bangalore,KFBA4,Brownie,Dessert,433,26,Sunday,0,20,326,4.45,1
2024-12-27,Chennai,KFCH3,Paneer Biryani,Main Course,131,91,Friday,0,30,442,2.14,0
2024-02-24,Chennai,KFCH4,Margherita Pizza,Main Course,340,57,Saturday,0,36,499,4.67,1
2024-07-29,Chennai,KFCH1,Brownie,Dessert,431,109,Monday,0,27,442,5.6,0
2024-04-02,Chennai,KFCH3,Cold Coffee,Beverages,472,11,Tuesday,0,38,358,3.62,0
2024-01-24,Hyderabad,KFHY1,Chicken Wrap,Snacks,339,112,Wednesday,0,35,376,4.35,0
2024-04-14,Hyderabad,KFHY2,Margherita Pizza,Main Course,473,127,Sunday,1,19,461,5.41,1
2024-07-04,Chennai,KFCH1,Chicken Wrap,Snacks,250,113,Thursday,0,38,598,2.27,0
2024-10-08,Hyderabad,KFHY4,Pepperoni Pizza,Main Course,206,46,Tuesday,0,31,201,1.86,0
2024-11-20,Chennai,KFCH1,Chicken Biryani,Main Course,437,64,Wednesday,0,31,430,3.19,0
2024-05-09,Kolkata,KFKO2,Chicken Biryani,Main Course,498,98,Thursday,1,19,362,5.43,0
2024-06-12,Pune,KFPU3,Cold Coffee,Beverages,406,29,Wednesday,1,39,469,2.98,0
2024-11-27,Chennai,KFCH1,Chicken Biryani,Main Course,252,24,Wednesday,0,29,200,2.39,0
2024-10-10,Mumbai,KFMU3,Margherita Pizza,Main Course,294,105,Thursday,0,34,319,6.54,0
2024-06-04,Kolkata,KFKO3,Pepperoni Pizza,Main Course,227,65,Tuesday,0,31,329,1.42,0
2024-10-19,Hyderabad,KFHY2,Margherita Pizza,Main Course,120,39,Saturday,0,38,258,2.87,1
2024-06-27,Chennai,KFCH4,Paneer Biryani,Main Course,395,57,Thursday,0,28,325,7.64,0
2024-11-01,Pune,KFPU1,Cold Coffee,Beverages,342,60,Friday,0,35,493,1.55,0
2024-05-05,Pune,KFPU4,Brownie,Dessert,353,22,Sunday,1,18,463,1.67,1
2024-01-05,Kolkata,KFKO2,Cold Coffee,Beverages,409,69,Friday,0,28,313,2.33,0
2024-01-26,Kolkata,KFKO4,Chicken Biryani,Main Course,195,115,Friday,1,31,488,5.0,0
2024-05-21,Pune,KFPU4,Margherita Pizza,Main Course,480,94,Tuesday,0,19,391,0.86,0
2024-03-13,Mumbai,KFMU1,Chicken Biryani,Main Course,295,17,Wednesday,0,30,358,6.04,0
2024-11-19,Delhi,KFDE1,Pepperoni Pizza,Main Course,251,106,Tuesday,0,19,281,7.08,0
2024-10-05,Bangalore,KFBA1,Veg Wrap,Snacks,248,92,Saturday,0,24,288,2.96,1
2024-03-05,Hyderabad,KFHY2,Cold Coffee,Beverages,262,25,Tuesday,0,18,504,4.59,0
2024-10-17,Hyderabad,KFHY2,Paneer Biryani,Main Course,386,103,Thursday,0,31,529,6.2,0
2024-09-21,Bangalore,KFBA1,Paneer Biryani,Main Course,447,52,Saturday,0,38,420,3.06,1
2024-01-12,Pune,KFPU2,Brownie,Dessert,412,83,Friday,0,32,242,6.24,0
2024-11-21,Chennai,KFCH2,Chicken Wrap,Snacks,498,47,Thursday,0,28,535,5.36,0
2024-05-03,Kolkata,KFKO1,Chicken Wrap,Snacks,322,55,Friday,0,38,340,3.14,0
2024-10-16,Chennai,KFCH1,Chicken Wrap,Snacks,492,56,Wednesday,0,32,355,4.54,0
2024-05-23,Delhi,KFDE4,Pepperoni Pizza,Main Course,265,6,Thursday,0,21,289,1.41,0
2024-09-19,Kolkata,KFKO4,Paneer Biryani,Main Course,158,17,Thursday,0,34,497,7.38,0
2024-03-24,Hyderabad,KFHY2,Cold Coffee,Beverages,429,5,Sunday,0,30,561,1.34,1
2024-05-20,Kolkata,KFKO2,Pepperoni Pizza,Main Course,396,90,Monday,0,26,470,5.08,0
2024-04-30,Pune,KFPU2,Brownie,Dessert,271,84,Tuesday,0,22,267,2.56,0
2024-01-19,Hyderabad,KFHY4,Cold Coffee,Beverages,321,93,Friday,0,21,441,1.65,0
2024-02-18,Bangalore,KFBA4,Paneer Biryani,Main Course,280,25,Sunday,0,33,492,5.31,1
2024-06-08,Bangalore,KFBA2,Chicken Biryani,Main Course,197,81,Saturday,0,19,519,1.52,1
2024-03-25,Delhi,KFDE3,Paneer Biryani,Main Course,493,43,Monday,0,28,479,1.46,0
2024-01-19,Hyderabad,KFHY2,Pepperoni Pizza,Main Course,161,36,Friday,0,31,235,1.14,0
2024-12-18,Hyderabad,KFHY3,Chicken Biryani,Main Course,255,101,Wednesday,0,26,395,3.82,0
2024-11-11,Delhi,KFDE4,Margherita Pizza,Main Course,146,36,Monday,0,23,399,5.38,0
2024-10-26,Pune,KFPU2,Veg Wrap,Snacks,461,74,Saturday,0,29,457,3.22,1
2024-10-17,Delhi,KFDE3,Pepperoni Pizza,Main Course,235,12,Thursday,0,21,532,5.26,0
2024-10-29,Mumbai,KFMU3,Brownie,Dessert,225,66,Tuesday,0,33,211,3.11,0
2024-05-15,Hyderabad,KFHY3,Brownie,Dessert,149,113,Wednesday,0,36,303,0.65,0
2024-12-25,Hyderabad,KFHY1,Chicken Biryani,Main Course,405,25,Wednesday,0,39,430,6.99,0
2024-09-28,Hyderabad,KFHY2,Chicken Wrap,Snacks,345,18,Saturday,0,35,436,3.2,1
2024-12-06,Delhi,KFDE3,Chicken Biryani,Main Course,450,71,Friday,0,21,510,1.71,0
2024-05-22,Chennai,KFCH4,Margherita Pizza,Main Course,363,110,Wednesday,0,34,241,4.55,0
2024-10-17,Chennai,KFCH4,Paneer Biryani,Main Course,277,82,Thursday,0,33,206,2.79,0
2024-03-13,Kolkata,KFKO1,Veg Wrap,Snacks,185,95,Wednesday,0,35,405,7.82,0
2024-09-12,Delhi,KFDE1,Paneer Biryani,Main Course,400,58,Thursday,0,31,520,5.05,0
2024-11-05,Chennai,KFCH1,Chicken Wrap,Snacks,144,17,Tuesday,0,25,224,2.24,0
2024-06-21,Hyderabad,KFHY4,Brownie,Dessert,247,100,Friday,0,31,219,3.8,0
2024-11-11,Kolkata,KFKO2,Brownie,Dessert,468,47,Monday,0,36,486,0.96,0
2024-09-22,Mumbai,KFMU2,Pepperoni Pizza,Main Course,386,54,Sunday,0,32,282,1.78,1
2024-05-28,Mumbai,KFMU4,Pepperoni Pizza,Main Course,490,11,Tuesday,0,18,459,5.25,0
2024-02-09,Mumbai,KFMU1,Cold Coffee,Beverages,499,56,Friday,0,21,323,6.86,0
2024-06-26,Kolkata,KFKO1,Chicken Wrap,Snacks,310,66,Wednesday,0,20,206,4.44,0
2024-01-14,Kolkata,KFKO1,Margherita Pizza,Main Course,205,9,Sunday,0,19,261,4.11,1
2024-09-02,Chennai,KFCH3,Margherita Pizza,Main Course,257,91,Monday,0,24,588,2.11,0
2024-07-31,Delhi,KFDE2,Margherita Pizza,Main Course,332,57,Wednesday,0,30,359,4.16,0
2024-07-06,Bangalore,KFBA3,Margherita Pizza,Main Course,427,59,Saturday,0,21,233,2.94,1
2024-09-08,Delhi,KFDE4,Veg Wrap,Snacks,352,97,Sunday,0,23,241,6.39,1
2024-04-22,Mumbai,KFMU4,Chicken Biryani,Main Course,239,18,Monday,1,19,259,1.07,0
2024-01-10,Delhi,KFDE2,Brownie,Dessert,351,25,Wednesday,0,19,463,7.21,0
2024-07-18,Mumbai,KFMU3,Chicken Biryani,Main Course,462,109,Thursday,1,22,286,5.6,0
2024-07-18,Mumbai,KFMU3,Veg Wrap,Snacks,228,55,Thursday,0,34,332,4.31,0
2024-08-19,Delhi,KFDE3,Pepperoni Pizza,Main Course,347,38,Monday,1,36,590,6.38,0
2024-09-17,Pune,KFPU2,Pepperoni Pizza,Main Course,471,12,Tuesday,0,23,310,1.12,0
2024-08-07,Mumbai,KFMU3,Brownie,Dessert,375,108,Wednesday,0,19,248,2.42,0
